ID,Customer.Code,Sentimental.Score,text
156,15000910,-1,@BankofAmerica I never received my new credit card I think it was stolen from my mail. What do I do next?
157,15001965,0,RT @truthsearch1957: @Legalator @ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170 @Din_SF…
158,15007055,0,@BankofAmerica your customer service score is 0.0
159,15009558,1,@BankofAmerica The best way to predict the future is to create it<U+0001F607>
160,15007827,0,"@BankScrewedUs @BankofAmerica Account was frozen, but I finally got in touch with a rep to clear it up <U+0001F64C><U+0001F3FD>"
161,15005881,0,"I might be a magician next weekend when I grow up, not for my man’s entertainment, I’m just sayin’, swish. <U+0001F60E>
@GLOCKInc
@NBA
@BankofAmerica"
162,15008267,0,They all know they’re gonna have to give it back. They used their ATM cards and they’re on camera. @BankofAmerica w… https://t.co/YMpzuZ4uol
163,15009436,1,@BankofAmerica i love you so much
164,15009466,0,@BankofAmerica @BofA_Help I’ve been on hold for 55 minutes. Is anyone answering customer service calls on Sunday??
165,15001148,-2,"I fucking hate @BankofAmerica <U+0001F481><U+0001F3FB><U+200D><U+2640><U+FE0F>
Just wanted to throw that into the atmosphere <U+0001F602>
New bank here we come! Lol"
166,15002405,-2,@Equifax My credit was destroyed by a debt collector using fraud in Maryland Courts. @BankofAmerica legal departmen… https://t.co/moRgfqcoDf
167,15002444,-3,@Equifax The policy for all third party debt collection should change. Agencies shouldn't list these baseless debts… https://t.co/wQV7K7VIp4
168,15003010,-1,@ericduncan211 @BankofAmerica Your whole account is frozen or just your debit card?
169,15002758,0,@SprintSwagger @BankofAmerica Different denominations in the new bank of America ATMs because they are bigger with… https://t.co/8r9E7NKApI
170,15007091,0,@BankofAmerica I am a BoA Preferred Client (not that it should matter).  I have been  waiting for phone assist for… https://t.co/xx7KrRYAJ5
171,15001501,0,@truthsearch1957 @Legalator @ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224… https://t.co/laxAmyQHr1
172,15001908,0,"RT @Aspiration: @LoloTbh @WellsFargo Hi, Lolo! What's bofa? @BankofAmerica"
173,15009701,0,@Legalator @ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170… https://t.co/fyoRiMo4Vw
174,15001597,0,RT @Legalator: @ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @CathyPe78176224 @Isabel1170 @Din_SF…
175,15001271,0,RT @truthsearch1957: @Legalator @ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170 @Din_SF…
176,15009381,0,@Legalator @ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170… https://t.co/DV8zLGwojH
177,15003344,0,"Millions of dollars annually sent to Israeli settlements, which are built on Palestinian land and are considered il… https://t.co/ohFGHkhFZ1"
178,15002751,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
179,15008770,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
